evidence_id,doc_id,source_file,packet,category,evidence_type,relationship_strength,related_company,related_ingredient,related_cost_bucket,confidence_level,display_allowed,requires_human_review,claim
EV_LOGISTICS_DISTRIBUTION_0001_001,DOC_01971A613130,WPU09150336.csv,logistics_distribution,logistics,benchmark_proxy,benchmark_only,USDA,,,medium,False,False,Source document available for packet: logistics_distribution.
EV_SUGAR_0002_001,DOC_02F4A4A84A57,asr_refined_sugar_process_or_products.pdf,sugar,ingredient,direct,company_level_confirmed,American Sugar Refining / ASR,Sugar,,high,False,True,Source document available for packet: sugar.
EV_COCOA_CHOCOLATE_COCOA_BUTTER_0003_001,DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,ingredient,benchmark_proxy,benchmark_only,Target,Cocoa Butter,,medium,False,False,Source document available for packet: cocoa_chocolate_cocoa_butter.
EV_COCOA_CHOCOLATE_COCOA_BUTTER_0003_301,DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,cost,benchmark_proxy,benchmark_only,Target,Cocoa / Chocolate / Cocoa Butter,general_cost_or_market_context,medium,False,False,"Source contains cost, price, market, benchmark, or index language for cost bucket: general_cost_or_market_context."
EV_COCOA_CHOCOLATE_COCOA_BUTTER_0003_302,DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,cost,benchmark_proxy,benchmark_only,Target,Cocoa / Chocolate,cocoa_chocolate_cocoa_butter,medium,False,False,"Source contains cost, price, market, benchmark, or index language for cost bucket: cocoa_chocolate_cocoa_butter."
EV_COCOA_CHOCOLATE_COCOA_BUTTER_0003_303,DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,cost,benchmark_proxy,benchmark_only,Target,Cocoa / Chocolate,cocoa_chocolate_cocoa_butter,medium,False,False,"Source contains cost, price, market, benchmark, or index language for cost bucket: cocoa_chocolate_cocoa_butter."
EV_COCOA_CHOCOLATE_COCOA_BUTTER_0003_304,DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,cost,benchmark_proxy,benchmark_only,Target,Cocoa / Chocolate / Cocoa Butter,general_cost_or_market_context,medium,False,False,"Source contains cost, price, market, benchmark, or index language for cost bucket: general_cost_or_market_context."
EV_COCOA_CHOCOLATE_COCOA_BUTTER_0003_305,DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,cost,benchmark_proxy,benchmark_only,Target,Cocoa / Chocolate / Cocoa Butter,general_cost_or_market_context,medium,False,False,"Source contains cost, price, market, benchmark, or index language for cost bucket: general_cost_or_market_context."
EV_COCOA_CHOCOLATE_COCOA_BUTTER_0003_306,DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,cost,benchmark_proxy,benchmark_only,Target,Cocoa / Chocolate / Cocoa Butter,general_cost_or_market_context,medium,False,False,"Source contains cost, price, market, benchmark, or index language for cost bucket: general_cost_or_market_context."
EV_COCOA_CHOCOLATE_COCOA_BUTTER_0003_307,DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,cost,benchmark_proxy,benchmark_only,Target,Cocoa / Chocolate,cocoa_chocolate_cocoa_butter,medium,False,False,"Source contains cost, price, market, benchmark, or index language for cost bucket: cocoa_chocolate_cocoa_butter."
